vaccine_score,is_heathcare,age
0.4190127567025784,False,64
0.09813545969561754,False,62
0.3665990033608997,False,47
0.1908159281399786,False,22
0.3302472409171997,False,1
0.5637004934625716,False,0
0.16411066240478556,False,21
0.980607986880257,False,19
0.2906434688961075,False,47
0.7600225841652279,True,61
0.7955172306611127,False,65
0.1086386646759171,False,20
0.9647895786919255,False,3
0.11620887863566565,False,6
0.8188761428447806,False,24
0.31276551098863403,False,35
0.3920950205492709,False,36
0.8160038152972945,False,14
0.827893602402937,False,38
0.5108012501287801,False,45
0.3009724451131154,False,18
0.10879174672542369,False,8
0.6071809944270309,False,54
0.5045031841673249,False,31
0.6551800540179253,False,25
0.30409742414749596,False,0
0.4945513950475807,False,54
0.6131552515660534,False,35
0.16321177478537652,False,48
0.015234343322580335,False,36
0.7726085003454253,False,48
0.037993308328311826,False,65
0.04308268703208795,False,43
0.877906136167659,False,21
0.20264272834046426,False,28
0.21987408773821704,False,14
0.2578487351460015,True,37
0.3936411328669823,False,50
0.5547699432947971,False,12
0.31410472398943756,False,51
0.7589950080443508,False,37
0.022924400664942945,False,26
0.5977166059682236,False,5
0.37656151981694874,False,12
0.4696647758133774,False,49
0.73014892711992,False,18
0.8111285476337738,True,36
0.5950133810842312,False,18
0.4956335408975059,False,1
0.28645003331702024,False,0
0.006196071060485364,False,34
0.8579119414554692,False,61
0.9174148847775255,False,43
0.28233912492737545,False,64
0.5985725607607021,False,16
0.6063273110612387,False,20
0.23758315289549348,False,8
0.4285807143220768,False,36
0.1657937073073289,False,35
0.7942101827713622,False,18
0.8412965464518247,False,42
0.09118252802647508,False,12
0.20537429538710295,False,5
0.040778300005942514,False,58
0.9815929817386607,False,28
0.6708092424185162,False,51
0.6851962902234023,False,34
0.5370819703456655,False,15
0.2691985738012972,False,7
0.8573245788989106,False,1
0.7392959015862828,False,29
0.8061358948324259,False,9
0.7289486026323337,False,14
0.6646671900556121,False,9
0.27353104625002955,False,28
0.8849216366404654,False,43
0.4468696933705,False,40
0.28117414450976397,False,11
0.8838675386271673,False,10
0.6597538179090879,False,18
0.00123425520413889,False,60
0.5212694723325793,False,65
0.47196738755470535,False,9
0.025472576332481234,False,14
0.7446772122755178,False,58
0.5668173591792204,False,44
0.14011556793824453,False,28
0.5370162245516921,False,55
0.420425981954601,False,18
0.8620286685753213,False,7
0.453971870150673,False,18
0.013787910978858786,False,12
0.4873834537889731,False,41
0.11640612526988847,False,20
0.6596053182044649,False,49
0.13060901818865878,False,38
0.8646298886243414,False,5
0.6860215479593572,False,16
0.7118598365182857,False,16
0.5049041555663859,False,20
0.05315319808119756,False,28
0.7279390847700091,False,23
0.7766453834463454,False,50
0.2613646536767592,False,3
0.963066623382055,False,8
0.486806163491284,False,23
0.9441325665934844,False,43
0.2906921526154417,False,33
0.13285929680019626,False,7
0.8016529361149058,False,65
0.4600176282651216,False,56
0.0630510347578701,False,47
0.47766272176503566,False,47
0.4945077345380371,False,10
0.19711476487798307,False,59
0.182064717022848,False,1
0.02682075684230323,False,0
0.5556273916244573,False,29
0.3056406102347845,False,21
0.0073727073543492505,False,61
0.00399772729901593,False,56
0.28479353825894205,False,33
0.10914559736280682,False,43
0.8815704047045048,False,12
0.07495112186193675,False,18
0.5912658573705951,False,10
0.026208871199879358,False,48
0.8414391431617604,False,53
0.36676320538371754,False,33
0.5005799597794681,False,11
0.618511691175606,False,8
0.25213421563263305,False,7
0.9149556505027057,False,27
0.7091057296435733,False,43
0.3456445541848786,False,30
0.408113520068052,False,56
0.5152842464577433,False,7
0.382616249417971,False,16
0.6264139299713679,False,12
0.23479651183005867,False,29
0.10605403653392242,False,61
0.9182256185249351,False,0
0.2850803931980239,False,41
0.06066058134120755,False,12
0.9781772295803254,True,32
0.3769112583057379,False,34
0.8539432680578081,False,54
0.5226181488119025,False,9
0.5481675138707655,False,8
0.6960821331117966,False,0
0.809606370565486,False,46
0.2196045496893968,False,19
0.8802053629018529,False,38
0.8752879650571159,False,1
0.340694014630592,False,11
0.022002945369200555,False,5
0.13462161951333096,False,45
0.15085129766626437,False,6
0.2976112650906245,False,11
0.3433578528301451,False,44
0.83428082199966,False,26
0.6816470779691375,False,18
0.5773067029100197,False,15
0.844849678198439,False,30
0.3456716798773618,False,31
0.5934073099901793,False,38
0.17726429299170876,False,3
0.8043878640572923,False,6
0.9776191988145354,False,50
0.36348049207111055,False,41
0.8064187404685325,False,25
0.9355515735453156,False,52
0.9915453965714367,False,27
0.5759150583793518,False,57
0.685934862951822,False,43
0.9399890044876235,False,38
0.3277465176062726,False,25
0.598262240067159,False,34
0.1280260619516841,False,2
0.560587014187113,False,54
0.19790316640335381,False,34
0.2430672752893881,False,61
0.8484583411832357,False,30
0.8520124549913347,False,50
0.43872960135488426,False,42
0.529585332398841,False,9
0.571632551119089,False,15
0.5369426861204513,False,10
0.4493260564715248,False,24
0.7905021782582909,False,5
0.11262086485439993,False,17
0.5395162752462382,False,18
0.5033715228108783,False,52
0.3453531409229653,False,25
0.8502679819696461,False,12
0.15795559568702833,False,10
0.6340988664759364,False,8
0.25761102511963585,False,52
0.3035688525851761,False,53
0.6219114742710723,False,62
0.7598508985596428,False,58
